city_id,cohort,manifest_status,city_type,country,inclusion_rationale
in-bengaluru,South Asia,locked,primary,India,Primary South Asian innovation benchmark included despite affordability and infrastructure pressures.
in-hyderabad,South Asia,locked,primary,India,Paired with Bengaluru as a competitiveness and opportunity benchmark for South Asia.
in-chandigarh,South Asia,provisional,primary,India,User anchor — cleanest and most organized Indian city with genuine livability and planning quality.
lk-colombo,South Asia,locked,primary,Sri Lanka,Regional capital-city comparator with manageable scale and stronger coastal livability potential.
bd-dhaka,South Asia,provisional,primary,Bangladesh,High-pressure megacity included provisionally as a contrast case inside the South Asian universe.
pk-karachi,South Asia,provisional,primary,Pakistan,Provisional large-metro comparator included to keep the South Asian candidate field honest and broad.
pk-lahore,South Asia,locked,secondary,Pakistan,Secondary challenger included for cultural weight and regional importance.
bd-chattogram,South Asia,locked,secondary,Bangladesh,Secondary port-city comparator for industrial relevance and everyday-scale testing.
np-kathmandu,South Asia,provisional,secondary,Nepal,Provisional cultural and tourism-weighted challenger with strong environmental tradeoffs.
bt-thimphu,South Asia,locked,secondary,Bhutan,"Smaller-scale South Asian challenger included for governance, environment, and lifestyle contrast."
mv-male,South Asia,locked,secondary,Maldives,"Island-city comparator included for service quality, compactness, and extreme spatial constraints."
fr-paris,"Western, Northern, and Southern Europe",locked,primary,France,User anchor and global cultural capital included as a prestige city that SLIC can re-score through affordability and pressure.
at-vienna,"Western, Northern, and Southern Europe",locked,primary,Austria,User anchor included as a conventional benchmark that SLIC can test against pressure and creative vitality.
ch-zurich,"Western, Northern, and Southern Europe",locked,primary,Switzerland,High-convenience benchmark included so SLIC can visibly penalize cost where necessary.
nl-amsterdam,"Western, Northern, and Southern Europe",provisional,primary,Netherlands,"Provisional benchmark for global talent pull, openness, and cost pressure."
dk-copenhagen,"Western, Northern, and Southern Europe",provisional,primary,Denmark,"Provisional systems-quality comparator included for mobility, governance, and cost tradeoffs."
it-milan,"Western, Northern, and Southern Europe",provisional,primary,Italy,"Italian economic benchmark included for productive depth, design-industry vitality, and high-pressure affordability tradeoffs."
at-graz,"Western, Northern, and Southern Europe",locked,secondary,Austria,User anchor and secondary Austrian challenger with lower prestige bias than Vienna.
pt-porto,"Western, Northern, and Southern Europe",locked,secondary,Portugal,"Secondary-city benchmark for cultural pull, walkability, and relative affordability."
pt-braga,"Western, Northern, and Southern Europe",locked,secondary,Portugal,Secondary Portuguese challenger with strong everyday livability and university-city energy.
ee-tallinn,"Western, Northern, and Southern Europe",locked,secondary,Estonia,Digitally competent northern-European challenger with manageable scale.
fi-helsinki,"Western, Northern, and Southern Europe",provisional,secondary,Finland,"Provisional Nordic comparator included for systems quality, climate, and cost balance."
it-bologna,"Western, Northern, and Southern Europe",provisional,secondary,Italy,"Italian secondary-city challenger included for university depth, civic texture, walkability, and manageable metropolitan scale."
ru-moscow,Southern/Eastern Europe and Eurasia,locked,primary,Russia,"User anchor included for scale, culture, infrastructure depth, and Eurasian comparability."
hu-budapest,Southern/Eastern Europe and Eurasia,locked,primary,Hungary,"User anchor with strong urban form, culture, and affordability relative to western peers."
pl-krakow,Southern/Eastern Europe and Eurasia,locked,primary,Poland,"User anchor and strong central-European benchmark for heritage, education, and secondary-scale quality."
ro-bucharest,Southern/Eastern Europe and Eurasia,locked,primary,Romania,Regional capital included for affordability-competitiveness balance and infrastructure trajectory.
rs-belgrade,Southern/Eastern Europe and Eurasia,locked,primary,Serbia,"Regional challenger included for dynamism, hospitality, and lower-cost competitiveness."
ru-nizhny-novgorod,Southern/Eastern Europe and Eurasia,provisional,secondary,Russia,User-referenced Russian challenger included provisionally as a second-tier Eurasian comparator.
pl-katowice,Southern/Eastern Europe and Eurasia,locked,secondary,Poland,User anchor included for industrial-transition competitiveness and metro-scale livability.
pl-gdansk,Southern/Eastern Europe and Eurasia,locked,secondary,Poland,User anchor included for port-city vitality and Baltic urban quality.
pl-torun,Southern/Eastern Europe and Eurasia,provisional,secondary,Poland,User-referenced university-city challenger retained provisionally for follow-up data testing.
sk-bratislava,Southern/Eastern Europe and Eurasia,provisional,secondary,Slovakia,"Secondary central-European challenger included for affordability, cross-border access, and competitiveness."
us-chicago,North America,locked,primary,United States,"U.S. control city included for scale, connectivity, and relative affordability within the American field."
mx-mexico-city,North America,locked,primary,Mexico,"North American megacity benchmark included for urban energy, culture, and affordability tension."
ca-toronto,North America,provisional,primary,Canada,High-cost North American comparator included to test whether strong services can offset pressure.
pa-panama-city,North America,locked,primary,Panama,"Regional gateway benchmark included for connectivity, investment, and logistics-driven vitality."
cr-san-jose,North America,locked,primary,Costa Rica,"Smaller North American capital benchmark included for education, healthcare, and relative stability."
us-pittsburgh,North America,locked,secondary,United States,"Secondary U.S. challenger included for education, healthcare, and value relative to coastal hubs."
ca-montreal,North America,locked,secondary,Canada,"Secondary Canadian benchmark with strong culture, transit, and urban texture."
mx-guadalajara,North America,locked,secondary,Mexico,"Secondary Mexican challenger for entrepreneurship, liveability, and cost competitiveness."
pr-san-juan,North America,provisional,secondary,Puerto Rico,"Caribbean urban challenger included provisionally for climate, connectivity, and services testing."
mx-merida,North America,provisional,secondary,Mexico,Lower-pressure Mexican challenger included provisionally for safety and lifestyle contrast.
br-sao-paulo,Latin America,locked,primary,Brazil,User anchor and Latin American scale benchmark for competitiveness and opportunity.
ar-buenos-aires,Latin America,locked,primary,Argentina,"Primary benchmark for culture, human capital, and urban texture across Latin America."
cl-santiago,Latin America,locked,primary,Chile,Regional systems-quality benchmark included to compare efficiency against cost and social strain.
co-bogota,Latin America,locked,primary,Colombia,"Primary comparator for scale, transit reform, education, and competitiveness."
pe-lima,Latin America,provisional,primary,Peru,Provisional Pacific-capital comparator included for scale and coastal livability tradeoffs.
br-curitiba,Latin America,locked,secondary,Brazil,"Secondary benchmark for planning reputation, mobility, and relative affordability."
co-medellin,Latin America,locked,secondary,Colombia,"Secondary challenger for entrepreneurship, hillside transit, and urban transformation."
uy-montevideo,Latin America,locked,secondary,Uruguay,Lower-pressure South American benchmark with strong civic and social indicators.
ar-cordoba,Latin America,provisional,secondary,Argentina,"Secondary Argentine challenger included provisionally for education, cost, and regional depth."
cl-valparaiso,Latin America,provisional,secondary,Chile,Port-city challenger included provisionally for culture and coastal public-life potential.
ae-dubai,Middle East,locked,primary,United Arab Emirates,Regional convenience and connectivity benchmark included to test cost and social texture tradeoffs.
ae-abu-dhabi,Middle East,locked,primary,United Arab Emirates,Systems-quality comparator with strong state capacity and high service competence.
qa-doha,Middle East,locked,primary,Qatar,"High-capacity Gulf benchmark included for infrastructure, safety, and cost testing."
sa-riyadh,Middle East,provisional,primary,Saudi Arabia,"Provisional primary comparator included for scale, investment, and administrative reform testing."
il-tel-aviv,Middle East,provisional,primary,Israel,"Provisional innovation benchmark included for startup intensity, openness, and high cost."
om-muscat,Middle East,locked,secondary,Oman,Lower-pressure Gulf challenger with strong everyday service quality potential.
bh-manama,Middle East,locked,secondary,Bahrain,"Secondary Gulf comparator for openness, compactness, and service-led economy."
sa-jeddah,Middle East,locked,secondary,Saudi Arabia,"Coastal Saudi challenger included for commerce, lifestyle, and second-city comparison."
kw-kuwait-city,Middle East,locked,secondary,Kuwait,Compact Gulf benchmark included for service quality and economic strength.
jo-amman,Middle East,provisional,secondary,Jordan,"Provisional Levantine challenger included for education, services, and regional resilience."
za-cape-town,Africa,locked,primary,South Africa,"African benchmark for environment, urban form, and inequality tradeoffs."
za-johannesburg,Africa,provisional,primary,South Africa,Provisional large-metro comparator included for competitiveness and safety-pressure contrasts.
ke-nairobi,Africa,locked,primary,Kenya,"Primary East African benchmark for entrepreneurship, services, and regional gravity."
rw-kigali,Africa,locked,primary,Rwanda,"Primary challenger included for cleanliness, public order, and service reliability."
ma-casablanca,Africa,provisional,primary,Morocco,"Provisional north-African benchmark for scale, port economy, and urban vitality."
mu-port-louis,Africa,locked,secondary,Mauritius,"Island-city challenger included for service quality, openness, and governance stability."
bw-gaborone,Africa,locked,secondary,Botswana,Lower-pressure southern-African challenger with cleaner administrative profile.
na-windhoek,Africa,locked,secondary,Namibia,Secondary challenger included for manageable scale and baseline service competence.
gh-accra,Africa,locked,secondary,Ghana,"West African benchmark for talent, services, and regional connectivity."
sn-dakar,Africa,provisional,secondary,Senegal,Provisional francophone west-African challenger with cultural and regional pull.
nz-auckland,Oceania,locked,primary,New Zealand,"Primary Oceanian benchmark for human-capital quality, openness, and cost pressure."
au-sydney,Oceania,provisional,primary,Australia,Global city control included so SLIC can test whether systems quality survives extreme cost pressure.
au-melbourne,Oceania,provisional,primary,Australia,Prestige benchmark included to compare mainstream rankings against SLIC's pressure logic.
au-brisbane,Oceania,locked,primary,Australia,Primary Australian challenger with lower cost pressure than Sydney and Melbourne.
nz-wellington,Oceania,locked,primary,New Zealand,"Compact capital benchmark included for services, education, and public-life quality."
au-perth,Oceania,locked,secondary,Australia,"Western Australian challenger included for lifestyle, wages, and geographic isolation tradeoffs."
au-adelaide,Oceania,locked,secondary,Australia,Secondary challenger with strong everyday scale and relatively lower housing pressure.
au-hobart,Oceania,locked,secondary,Australia,Smaller-scale challenger included for lifestyle quality and public-environment strength.
nz-christchurch,Oceania,provisional,secondary,New Zealand,Provisional challenger included for rebuild-era infrastructure and lower-pressure urban living.
fj-suva,Oceania,locked,secondary,Fiji,Pacific regional challenger included so Oceania is not reduced to Australia and New Zealand alone.
id-surabaya,Southeast Asia,provisional,secondary,Indonesia,Reserve Indonesian comparator added for a second-tier metro with realistic official-data coverage and a distinct affordability-services profile.
ph-cebu-city,Southeast Asia,provisional,secondary,Philippines,Reserve Philippine comparator added to widen the archipelago view beyond Metro Manila and test secondary-metro resilience.
vn-da-nang,Southeast Asia,provisional,secondary,Vietnam,"Reserve Vietnamese coastal comparator added for transport, public-space, and tourism-pressure benchmarking."
kh-phnom-penh,Southeast Asia,provisional,primary,Cambodia,Reserve capital comparator added to deepen mainland Southeast Asia coverage where official sources remain feasible.
tw-taichung,East Asia,provisional,primary,Taiwan,Reserve Taiwanese metro added for a lower-pressure manufacturing and services counterpoint to Taipei.
tw-kaohsiung,East Asia,locked,primary,Taiwan,"User anchor — amazing in every way: port city with culture, food, climate, and livability."
kr-incheon,East Asia,provisional,primary,South Korea,Reserve Korean metro added for airport-led connectivity and a distinct daily-livability profile outside Seoul's core gravity.
cn-guangzhou,East Asia,provisional,primary,China,"Reserve Pearl River comparator added for manufacturing scale, trade, and high-capacity urban services."
in-pune,South Asia,provisional,primary,India,"Reserve Indian metro added for higher-skill employment, education depth, and lower-pressure contrast with larger Indian cores."
pk-islamabad,South Asia,provisional,primary,Pakistan,Reserve Pakistani capital comparator added for a more administrative and planned urban profile than Karachi or Lahore.
lk-kandy,South Asia,provisional,secondary,Sri Lanka,Reserve Sri Lankan inland challenger added for cultural depth and a smaller-scale urban services comparison.
np-pokhara,South Asia,provisional,secondary,Nepal,"Reserve Nepali challenger added for tourism, environmental pressure, and smaller-city everyday-livability comparison."
cz-brno,Southern/Eastern Europe and Eurasia,provisional,secondary,Czechia,Reserve Central European university-city comparator added for innovation depth outside capital-city dominance.
si-ljubljana,Southern/Eastern Europe and Eurasia,provisional,primary,Slovenia,"Reserve small-capital comparator added for transit, human-scale urbanism, and strong administrative legibility."
hr-zagreb,Southern/Eastern Europe and Eurasia,provisional,primary,Croatia,"Reserve Balkan capital comparator added for services, education, and regional gateway analysis."
lt-vilnius,Southern/Eastern Europe and Eurasia,provisional,primary,Lithuania,Reserve Baltic capital comparator added for digital administration and smaller-market European competitiveness.
lv-riga,Southern/Eastern Europe and Eurasia,provisional,primary,Latvia,"Reserve Baltic port-capital comparator added for logistics, housing pressure, and public-services benchmarking."
ge-tbilisi,Southern/Eastern Europe and Eurasia,provisional,primary,Georgia,"Reserve Caucasus capital comparator added for Eurasian crossover, reform visibility, and rapid-change testing."
fr-lyon,"Western, Northern, and Southern Europe",provisional,primary,France,Reserve French metro added for a strong non-capital benchmark with credible official data and major service depth.
es-valencia,"Western, Northern, and Southern Europe",provisional,primary,Spain,"Reserve Mediterranean comparator added for climate, public life, and port-city livability tradeoffs."
de-munich,"Western, Northern, and Southern Europe",provisional,primary,Germany,Reserve German comparator added for high-productivity urban life with strong official and subnational data coverage.
be-antwerp,"Western, Northern, and Southern Europe",provisional,secondary,Belgium,"Reserve Benelux port-city comparator added for logistics, affordability, and cultural-public-life benchmarking."
ie-cork,"Western, Northern, and Southern Europe",provisional,secondary,Ireland,Reserve Irish second-city comparator added for scale discipline and innovation-driven regional growth analysis.
se-gothenburg,"Western, Northern, and Southern Europe",provisional,primary,Sweden,"Reserve Nordic port-metro added for strong welfare systems, housing pressure, and export-economy comparison."
no-bergen,"Western, Northern, and Southern Europe",provisional,secondary,Norway,"Reserve Norwegian challenger added for climate, public-services strength, and smaller-scale urban experience."
nl-eindhoven,"Western, Northern, and Southern Europe",provisional,secondary,Netherlands,Reserve Dutch innovation-city comparator added for research intensity and productive specialization outside Amsterdam.
ca-vancouver,North America,provisional,primary,Canada,Reserve Canadian Pacific comparator added for high-amenity urban life tested against acute housing pressure.
ca-ottawa,North America,provisional,primary,Canada,Reserve Canadian capital comparator added for public-sector stability and bilingual institutional depth.
us-minneapolis,North America,provisional,primary,United States,"Reserve U.S. upper-midwest comparator added for strong services, education, and moderate-scale urban benchmarking."
us-raleigh,North America,provisional,secondary,United States,"Reserve U.S. research-region comparator added for innovation, education, and fast-growth governance testing."
do-santo-domingo,North America,provisional,primary,Dominican Republic,"Reserve Caribbean capital comparator added for climate, tourism, and metropolitan services benchmarking."
br-florianopolis,Latin America,provisional,secondary,Brazil,"Reserve Brazilian coastal challenger added for innovation, safety tradeoffs, and quality-of-life comparison."
pe-arequipa,Latin America,provisional,secondary,Peru,"Reserve Peruvian second-city comparator added for altitude, affordability, and regional depth outside Lima."
ec-cuenca,Latin America,provisional,secondary,Ecuador,"Reserve Andean challenger added for lower-pressure city form, heritage, and retiree-inflow effects."
py-asuncion,Latin America,provisional,primary,Paraguay,Reserve inland capital comparator added for under-covered Southern Cone urban economics and governance.
il-haifa,Middle East,provisional,secondary,Israel,"Reserve Israeli port-city comparator added for industrial depth, coexistence testing, and hillside urban form."
om-salalah,Middle East,provisional,secondary,Oman,Reserve Omani secondary-city comparator added for climate seasonality and lower-pressure Gulf urban living.
jo-aqaba,Middle East,provisional,secondary,Jordan,"Reserve Red Sea gateway comparator added for logistics, tourism, and smaller-scale Middle East benchmarking."
sa-khobar,Middle East,provisional,secondary,Saudi Arabia,"Reserve Gulf comparator added for private-sector employment, oil-economy transition, and cross-border business context."
ma-rabat,Africa,provisional,primary,Morocco,Reserve North African capital comparator added for administrative competence and Atlantic urban quality comparisons.
eg-alexandria,Africa,provisional,primary,Egypt,"Reserve Mediterranean African comparator added for port-city history, density, and climate-exposure tradeoffs."
tz-dar-es-salaam,Africa,provisional,primary,Tanzania,"Reserve East African metro added for growth pressure, transport, and coastal services comparison."
ug-kampala,Africa,provisional,primary,Uganda,"Reserve Great Lakes capital comparator added for regional services, affordability pressure, and urban governance testing."
gh-kumasi,Africa,provisional,secondary,Ghana,"Reserve Ghanaian secondary-city comparator added for inland services, education depth, and lower-cost urban life."
nz-dunedin,Oceania,provisional,secondary,New Zealand,Reserve New Zealand challenger added for smaller-scale education-led urban life and colder-climate comparison.
pg-port-moresby,Oceania,provisional,primary,Papua New Guinea,Reserve Melanesian capital comparator added so the Pacific reserve pool is not reduced to microstates and high-income systems.
ws-apia,Oceania,provisional,primary,Samoa,"Reserve Polynesian capital comparator added for small-island services, climate resilience, and Pacific governance depth."
vu-port-vila,Oceania,provisional,primary,Vanuatu,"Reserve Pacific capital comparator added for tourism, climate exposure, and utility-reliability benchmarking."
us-new-york,North America,provisional,primary,United States,Global financial center and largest US metro area
us-los-angeles,North America,provisional,primary,United States,Entertainment capital with diverse economy and Pacific Rim trade
us-houston,North America,provisional,primary,United States,Energy capital with NASA presence and medical center complex
us-san-francisco,North America,provisional,primary,United States,Global tech and venture capital epicenter
us-seattle,North America,provisional,primary,United States,Tech giant headquarters with Pacific Northwest livability
us-austin,North America,provisional,secondary,United States,Fast-growing tech hub with music culture and startup ecosystem
us-boston,North America,provisional,primary,United States,Biotech and university powerhouse with historic walkable core
us-portland,North America,provisional,secondary,United States,Pacific Northwest city known for sustainability and food culture
cn-beijing,East Asia,provisional,primary,China,National capital with political and cultural significance
cn-nanjing,East Asia,provisional,primary,China,Yangtze Delta education hub with historic capital heritage
cn-qingdao,East Asia,provisional,secondary,China,Coastal Shandong city with German heritage and port economy
cn-kunming,East Asia,provisional,secondary,China,Spring City gateway to Yunnan with mild year-round climate
cn-xiamen,East Asia,provisional,secondary,China,Coastal Fujian city with high livability and tech sector
de-berlin,"Western, Northern, and Southern Europe",provisional,primary,Germany,National capital with vibrant startup scene and cultural life
de-hamburg,"Western, Northern, and Southern Europe",provisional,primary,Germany,Major port city with media industry and maritime heritage
de-frankfurt,"Western, Northern, and Southern Europe",provisional,primary,Germany,European financial center with international connectivity
de-cologne,"Western, Northern, and Southern Europe",provisional,primary,Germany,Rhine cultural hub with media sector and cathedral heritage
de-stuttgart,"Western, Northern, and Southern Europe",provisional,secondary,Germany,Automotive innovation center with engineering excellence
de-dusseldorf,"Western, Northern, and Southern Europe",provisional,secondary,Germany,Fashion and trade fair city with Japanese community
de-leipzig,"Western, Northern, and Southern Europe",provisional,secondary,Germany,Rising creative city with affordable living and music scene
de-freiburg,"Western, Northern, and Southern Europe",provisional,secondary,Germany,Solar city pioneer with university and Black Forest setting
de-dresden,"Western, Northern, and Southern Europe",provisional,secondary,Germany,Baroque cultural gem with semiconductor and tech cluster
jp-tokyo,East Asia,provisional,primary,Japan,World largest metro with unmatched transit and food culture
jp-osaka,East Asia,provisional,primary,Japan,Kansai commercial hub with street food capital reputation
jp-nagoya,East Asia,provisional,primary,Japan,Manufacturing powerhouse and Toyota automotive heartland
jp-yokohama,East Asia,provisional,primary,Japan,Port city adjacent to Tokyo with waterfront redevelopment
jp-sendai,East Asia,provisional,secondary,Japan,Tohoku regional capital with university and forest city identity
jp-kyoto,East Asia,provisional,secondary,Japan,Ancient capital with UNESCO sites and traditional craft economy
in-mumbai,South Asia,provisional,primary,India,Financial capital with Bollywood and massive port economy
in-delhi,South Asia,provisional,primary,India,National capital territory with government and services hub
in-chennai,South Asia,provisional,primary,India,South Indian auto and IT hub with classical arts heritage
in-kolkata,South Asia,provisional,primary,India,Eastern cultural capital with literary and intellectual tradition
in-ahmedabad,South Asia,provisional,primary,India,Gujarat commercial center with textile and pharma industries
in-jaipur,South Asia,provisional,secondary,India,Pink City with tourism heritage and emerging IT sector
in-kochi,South Asia,provisional,secondary,India,Kerala port city with spice trade heritage and backwaters
gb-london,"Western, Northern, and Southern Europe",provisional,primary,United Kingdom,Global financial center with world-leading cultural institutions
gb-manchester,"Western, Northern, and Southern Europe",provisional,primary,United Kingdom,Northern powerhouse with media city and music heritage
gb-birmingham,"Western, Northern, and Southern Europe",provisional,primary,United Kingdom,Second city with diverse economy and HS2 investment
gb-edinburgh,"Western, Northern, and Southern Europe",provisional,primary,United Kingdom,Scottish capital with festival culture and financial services
gb-bristol,"Western, Northern, and Southern Europe",provisional,secondary,United Kingdom,Creative and aerospace hub with strong independent culture
gb-leeds,"Western, Northern, and Southern Europe",provisional,secondary,United Kingdom,Yorkshire financial and legal services center
gb-glasgow,"Western, Northern, and Southern Europe",provisional,secondary,United Kingdom,Scottish cultural powerhouse with architecture and music scene
gb-cambridge,"Western, Northern, and Southern Europe",provisional,secondary,United Kingdom,World-leading university city with biotech cluster
gb-brighton,"Western, Northern, and Southern Europe",provisional,secondary,United Kingdom,Coastal creative city with LGBTQ+ culture and digital sector
gb-belfast,"Western, Northern, and Southern Europe",provisional,secondary,United Kingdom,Post-conflict renaissance city with tech and creative growth
fr-marseille,"Western, Northern, and Southern Europe",provisional,primary,France,Mediterranean port city with multicultural identity
fr-toulouse,"Western, Northern, and Southern Europe",provisional,secondary,France,Aerospace capital with Airbus headquarters and university life
fr-nantes,"Western, Northern, and Southern Europe",provisional,secondary,France,Atlantic creative city consistently ranked most livable in France
fr-bordeaux,"Western, Northern, and Southern Europe",provisional,secondary,France,Wine capital with TGV-connected renaissance and gastronomy
fr-strasbourg,"Western, Northern, and Southern Europe",provisional,secondary,France,European Parliament city bridging French and German culture
fr-lille,"Western, Northern, and Southern Europe",provisional,secondary,France,Northern crossroads city with Eurostar access and student life
fr-montpellier,"Western, Northern, and Southern Europe",provisional,secondary,France,Mediterranean tech and university city with rapid growth
fr-nice,"Western, Northern, and Southern Europe",provisional,secondary,France,Riviera city with tourism economy and Sophia Antipolis tech
it-rome,"Western, Northern, and Southern Europe",provisional,primary,Italy,Eternal City with unmatched heritage and government seat
it-turin,"Western, Northern, and Southern Europe",provisional,primary,Italy,Piedmont industrial city reinventing as food and design capital
it-florence,"Western, Northern, and Southern Europe",provisional,secondary,Italy,Renaissance cradle with world-leading art and craft heritage
it-naples,"Western, Northern, and Southern Europe",provisional,primary,Italy,Southern cultural capital with volcanic setting and cuisine
it-venice,"Western, Northern, and Southern Europe",provisional,secondary,Italy,Lagoon city with unique urban form and biennale culture
it-genoa,"Western, Northern, and Southern Europe",provisional,secondary,Italy,Ligurian port city with maritime heritage and compact center
it-palermo,"Western, Northern, and Southern Europe",provisional,secondary,Italy,Sicilian capital with Arab-Norman heritage and street food
it-verona,"Western, Northern, and Southern Europe",provisional,secondary,Italy,Veneto city with Roman arena and wine country gateway
ru-st-petersburg,Eastern Europe and Eurasia,provisional,primary,Russia,Cultural capital with imperial architecture and arts
ru-novosibirsk,Eastern Europe and Eurasia,provisional,primary,Russia,Siberian academic city with Akademgorodok research hub
ru-yekaterinburg,Eastern Europe and Eurasia,provisional,primary,Russia,Ural industrial center bridging European and Asian Russia
ru-kazan,Eastern Europe and Eurasia,provisional,secondary,Russia,Tatar capital with multicultural identity and tech sector
ru-vladivostok,Eastern Europe and Eurasia,provisional,secondary,Russia,Pacific port city with Asian connectivity
ru-krasnodar,Eastern Europe and Eurasia,provisional,secondary,Russia,Southern Russian agricultural and Black Sea gateway
ru-rostov-on-don,Eastern Europe and Eurasia,provisional,secondary,Russia,Don River city with southern trade and university presence
ru-tyumen,Eastern Europe and Eurasia,provisional,secondary,Russia,West Siberian oil economy city with high incomes
ca-calgary,North America,provisional,primary,Canada,Alberta energy capital with Rocky Mountain proximity
ca-edmonton,North America,provisional,primary,Canada,Provincial capital with university and northern gateway role
ca-winnipeg,North America,provisional,secondary,Canada,Prairie crossroads with diverse immigrant community
ca-quebec-city,North America,provisional,secondary,Canada,Francophone heritage city with European character
ca-halifax,North America,provisional,secondary,Canada,Atlantic Canadian port city with maritime and university presence
ca-victoria,North America,provisional,secondary,Canada,Pacific island capital with mild climate and livability
br-rio-de-janeiro,Latin America,provisional,primary,Brazil,Iconic coastal city with cultural vibrancy and tourism
br-brasilia,Latin America,provisional,primary,Brazil,Modernist planned capital with government presence
es-madrid,"Western, Northern, and Southern Europe",provisional,primary,Spain,National capital with major financial and cultural institutions
es-barcelona,"Western, Northern, and Southern Europe",provisional,primary,Spain,Mediterranean design and tech hub with strong identity
es-seville,"Western, Northern, and Southern Europe",provisional,secondary,Spain,Andalusian capital with flamenco heritage and growing tech
es-bilbao,"Western, Northern, and Southern Europe",provisional,secondary,Spain,Basque city transformed by Guggenheim and innovation
mx-monterrey,North America,provisional,primary,Mexico,Northern industrial powerhouse with highest Mexican incomes
mx-queretaro,North America,provisional,secondary,Mexico,Central Mexican aerospace and manufacturing corridor
kr-seoul,East Asia,provisional,primary,South Korea,Global tech and pop culture capital with world-class transit
kr-daejeon,East Asia,provisional,secondary,South Korea,Science city with national research institutes and KAIST
tr-istanbul,Eastern Europe and Eurasia,provisional,primary,Turkey,Transcontinental megacity bridging Europe and Asia
tr-ankara,Eastern Europe and Eurasia,provisional,primary,Turkey,National capital with government and university presence
tr-izmir,Eastern Europe and Eurasia,provisional,primary,Turkey,Aegean port city with liberal identity and tech growth
tr-antalya,Eastern Europe and Eurasia,provisional,secondary,Turkey,Mediterranean tourism capital with resort economy
tr-bursa,Eastern Europe and Eurasia,provisional,secondary,Turkey,Ottoman heritage city with automotive manufacturing
id-bandung,Southeast Asia,provisional,secondary,Indonesia,Javanese highland city with universities and creative economy
id-yogyakarta,Southeast Asia,provisional,secondary,Indonesia,Cultural capital of Java with arts heritage and student life
id-denpasar,Southeast Asia,provisional,secondary,Indonesia,Balinese capital with tourism and Hindu cultural identity
nl-rotterdam,"Western, Northern, and Southern Europe",provisional,secondary,Netherlands,Architecture capital with Europes largest port
nl-the-hague,"Western, Northern, and Southern Europe",provisional,secondary,Netherlands,International law capital with diplomatic community
